700,650,2100
1800,1200,900
1100,1600,1300
800,1900,750
750,300,650
600,550,350
600,550,350
600,550,350
600,550,350
550,550,350
550,550,1100
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
550,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
350,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
500,550,500
